,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
41,dlvm,5000,3,100,0.1,0,3,10,10,glm,4462,False,False,1.0506203912750236,1.051524305780687,1.0490864748539146,1.0611120890476549,1.0582296984227064,1.0562855238422406,0.8758314436958756,0.8315769739194577
42,dlvm,5000,3,5,0.3,0,3,10,10,glm,1561,False,False,1.065390972500095,1.063644897516062,1.0650898591820723,1.0287627766258747,1.028287628122429,1.0288736650848034,0.733339772569209,0.5298812281053834
43,dlvm,5000,3,100,0.3,0,3,10,10,glm,4656,False,False,1.0437934663012018,1.0478263641976489,1.0462286194861987,1.0584249485522508,1.0569087308239258,1.0558216224089596,0.8723307913414581,0.8268500406908376
44,dlvm,5000,3,5,0.1,0,3,400,10,glm,1810,False,False,1.0721110043407764,1.0699729183584454,1.071670114679597,1.0349725070160574,1.0346557699301926,1.0348766928090476,0.738073741014548,0.56852310974374
45,dlvm,5000,3,100,0.1,0,3,400,10,glm,6100,False,False,1.0407595889109147,1.0445454588340528,1.0453613593636897,1.0412203379265352,1.0442067391393983,1.0452032883525333,0.8688477878441604,0.8446350285950699
46,dlvm,5000,3,5,0.3,0,3,400,10,glm,2095,False,False,1.060965805275728,1.0567257573834534,1.056832070888332,1.0289269015226303,1.0286226329143642,1.028808720540256,0.7331459018990564,0.5612983745079962
47,dlvm,5000,3,100,0.3,0,3,400,10,glm,6278,False,False,1.0617281439343205,1.051794266282387,1.0531731401974156,1.059422666540928,1.0522017532067165,1.053544749943272,0.8702558688093979,0.8469277341672875
48,dlvm,1000,3,5,0.1,0,3,10,0.1,glm,187,True,False,2.1400240963278048,1.939053017671851,1.9186849800794334,1.4038015721612822,1.4035788201812394,1.4039949913388603,0.5667961759505371,0.1344822690099701
49,dlvm,1000,3,100,0.1,0,3,10,0.1,glm,692,True,False,1.617951427345132,1.9445330435654142,1.8069161029387182,2.7052375850924584,3.101528489128916,2.824703816474381,0.7063230565719457,0.6599179873839496
50,dlvm,1000,3,5,0.3,0,3,10,0.1,glm,189,True,False,1.564074388651121,1.4269099902623594,1.4223285989465921,1.3742067321351417,1.3741549796489125,1.3747816836098492,0.37963316342496434,0.1036587829139685
