,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,m,tau_dr,tau_ols,tau_ols_ps
122,lrmf,1000,3,5,0.3,0,3,602,1,glm,1,True,10,0.992707767355707,1.0077610252819795,1.008538161395188
123,lrmf,1000,3,100,0.3,0,3,602,1,glm,134,True,10,22351786.27565597,1.042850605419618,1.4670299720565145
124,lrmf,1000,3,5,0,0,3,602,1,glm,1,True,10,1.0220024298014294,1.007012081243958,1.0007825730191056
125,lrmf,1000,3,100,0,0,3,602,1,glm,135,True,10,0.9802973016344783,0.9800589283439122,0.7430899128526682
126,lrmf,1000,3,5,0.1,1,3,602,1,glm,1,True,10,0.2376068663949086,1.003438028369186,1.004996246092699
127,lrmf,1000,3,100,0.1,1,3,602,1,glm,133,True,10,3901641.9417675673,1.0537151712942605,1.1986168103916235
128,lrmf,1000,3,5,0.3,1,3,602,1,glm,1,True,10,0.2376068663949086,1.003438028369186,1.004996246092699
129,lrmf,1000,3,100,0.3,1,3,602,1,glm,145,True,10,3901641.9417675673,1.0537151712942605,1.1986168103916235
130,lrmf,1000,3,5,0,1,3,602,1,glm,1,True,10,0.9824114541074316,1.0012244268903634,1.0022353967887807
131,lrmf,1000,3,100,0,1,3,602,1,glm,136,True,10,1.0232485665135769,1.0184414196132374,0.9649469844542061
132,lrmf,1000,3,5,0.1,2,3,602,1,glm,1,True,10,0.9909597890538446,1.0127219026099221,1.0260327490768482
133,lrmf,1000,3,100,0.1,2,3,602,1,glm,136,True,10,0.5746557539933608,1.0292821170346287,1.0971417346954953
134,lrmf,1000,3,5,0.3,2,3,602,1,glm,1,True,10,0.9909597890538446,1.0127219026099221,1.0260327490768482
135,lrmf,1000,3,100,0.3,2,3,602,1,glm,142,True,10,0.5746557539933608,1.0292821170346287,1.0971417346954953
136,lrmf,1000,3,5,0,2,3,602,1,glm,1,True,10,0.9662551172487353,0.9819269455898556,0.975230319359218
137,lrmf,1000,3,100,0,2,3,602,1,glm,141,True,10,0.94927236628303,0.9580434207794344,0.7355494568784525
138,lrmf,1000,3,5,0.1,3,3,602,1,glm,1,True,10,0.9802583042851915,0.9870242344153622,0.9827713712269638
139,lrmf,1000,3,100,0.1,3,3,602,1,glm,137,True,10,97.76662605365634,1.0209642313498306,1.2461576054400205
140,lrmf,1000,3,5,0.3,3,3,602,1,glm,1,True,10,0.9802583042851915,0.9870242344153622,0.9827713712269638
141,lrmf,1000,3,100,0.3,3,3,602,1,glm,136,True,10,97.76662605365634,1.0209642313498306,1.2461576054400205
142,lrmf,1000,3,5,0,3,3,602,1,glm,1,True,10,1.0541749313308741,1.0037331957598252,0.9959870716061727
143,lrmf,1000,3,100,0,3,3,602,1,glm,154,True,10,0.9678841004712858,0.9737630280346419,0.7510047081579241
144,lrmf,1000,3,5,0.1,4,3,602,1,glm,1,True,10,1.0308130153808126,1.0009296446595863,1.003526147937529
145,lrmf,1000,3,100,0.1,4,3,602,1,glm,147,True,10,11.002354984421714,1.0333561165109333,1.1046262665728759
146,lrmf,1000,3,5,0.3,4,3,602,1,glm,1,True,10,1.0308130153808126,1.0009296446595863,1.003526147937529
147,lrmf,1000,3,100,0.3,4,3,602,1,glm,150,True,10,11.002354984421714,1.0333561165109333,1.1046262665728759
148,lrmf,1000,3,5,0,4,3,602,1,glm,1,True,10,1.0059486699316178,1.0024962760648708,0.9935277759141371
149,lrmf,1000,3,100,0,4,3,602,1,glm,135,True,10,0.8819419331292728,0.9556550486438257,0.731459340132905
150,lrmf,1000,3,5,0.1,5,3,602,1,glm,1,True,10,0.9969913354740305,1.0020287913755237,1.0008296084821215
151,lrmf,1000,3,100,0.1,5,3,602,1,glm,137,True,10,1329093.0436389213,1.020308051996227,1.0471469834165346
152,lrmf,1000,3,5,0.3,5,3,602,1,glm,1,True,10,0.9969913354740305,1.0020287913755237,1.0008296084821215
153,lrmf,1000,3,100,0.3,5,3,602,1,glm,135,True,10,1329093.0436389213,1.020308051996227,1.0471469834165346
154,lrmf,1000,3,5,0,5,3,602,1,glm,1,True,10,0.9480713087919966,0.9871263704527958,0.9766759833262906
155,lrmf,1000,3,100,0,5,3,602,1,glm,157,True,10,1.1275944709213621,1.0127777127400512,1.005448784490376
156,lrmf,1000,3,5,0.1,6,3,602,1,glm,1,True,10,0.9417955903241303,1.0026084036985385,0.9962359901466481
157,lrmf,1000,3,100,0.1,6,3,602,1,glm,148,True,10,0.4695003439906042,1.0174433338286293,1.0535827838184828
158,lrmf,1000,3,5,0.3,6,3,602,1,glm,1,True,10,0.9417955903241303,1.0026084036985385,0.9962359901466481
159,lrmf,1000,3,100,0.3,6,3,602,1,glm,146,True,10,0.4695003439906042,1.0174433338286293,1.0535827838184828
160,lrmf,1000,3,5,0,6,3,602,1,glm,1,True,10,1.0544127651550854,1.0086884573577968,1.017055046005355
161,lrmf,1000,3,100,0,6,3,602,1,glm,137,True,10,0.970148759627304,0.9759657400480846,0.6528373328163244
162,lrmf,1000,3,5,0.1,7,3,602,1,glm,1,True,10,0.7961423396337409,1.0058305552393665,1.007081344868983
163,lrmf,1000,3,100,0.1,7,3,602,1,glm,138,True,10,10529078.040485464,1.0393201585412206,1.1118529151897265
164,lrmf,1000,3,5,0.3,7,3,602,1,glm,1,True,10,0.7961423396337409,1.0058305552393665,1.007081344868983
165,lrmf,1000,3,100,0.3,7,3,602,1,glm,139,True,10,10529078.040485464,1.0393201585412206,1.1118529151897265
166,lrmf,1000,3,5,0,7,3,602,1,glm,1,True,10,1.1010544082146556,1.0014294927525018,1.001959398841905
167,lrmf,1000,3,100,0,7,3,602,1,glm,142,True,10,0.960978836170462,0.9718161266480785,0.8543649315015946
168,lrmf,1000,3,5,0.1,8,3,602,1,glm,1,True,10,0.7459642816469829,0.9963239172745203,1.0028143473190418
169,lrmf,1000,3,100,0.1,8,3,602,1,glm,136,True,10,203.42509778982384,1.047078137982026,1.2137465468412727
170,lrmf,1000,3,5,0.3,8,3,602,1,glm,1,True,10,0.7459642816469829,0.9963239172745203,1.0028143473190418
171,lrmf,1000,3,100,0.3,8,3,602,1,glm,135,True,10,203.42509778982384,1.047078137982026,1.2137465468412727
172,lrmf,1000,3,5,0,8,3,602,1,glm,1,True,10,1.0133530055688382,0.9949407433505291,0.9989485623982601
173,lrmf,1000,3,100,0,8,3,602,1,glm,140,True,10,0.963806375459319,0.9669814558892526,0.7675560547601024
174,lrmf,1000,3,5,0.1,9,3,602,1,glm,1,True,10,0.9953810014154965,0.9913378239436472,0.9878686495148952
175,lrmf,1000,3,100,0.1,9,3,602,1,glm,138,True,10,17767544.814677127,1.0513199406233686,1.3015192263900661
176,lrmf,1000,3,5,0.3,9,3,602,1,glm,1,True,10,0.9953810014154965,0.9913378239436472,0.9878686495148952
177,lrmf,1000,3,100,0.3,9,3,602,1,glm,131,True,10,17767544.814677127,1.0513199406233686,1.3015192263900661
178,lrmf,1000,3,5,0,9,3,602,1,glm,1,True,10,1.0757968776877134,1.007915594541295,1.0149257423261289
179,lrmf,1000,3,100,0,9,3,602,1,glm,140,True,10,1.3310448216100699,1.0116610574705382,0.9668886324673615
180,lrmf,1000,3,5,0.1,0,3,602,1,glm,1,False,10,0.8862671456031629,0.8836389689181546,0.8838434774108341
181,lrmf,1000,3,100,0.1,0,3,602,1,glm,140,False,10,0.9776850445217212,0.9997938858483376,1.0017178327062077
182,lrmf,1000,3,5,0.3,0,3,602,1,glm,1,False,10,0.8862671456031629,0.8836389689181546,0.8838434774108341
183,lrmf,1000,3,100,0.3,0,3,602,1,glm,148,False,10,0.9776850445217212,0.9997938858483376,1.0017178327062077
184,lrmf,1000,3,5,0,0,3,602,1,glm,1,False,10,0.8812464308733462,0.879176607586111,0.8793616296606208
185,lrmf,1000,3,100,0,0,3,602,1,glm,147,False,10,0.9724184686032219,0.9981351847398144,1.0000035212374163
186,lrmf,1000,3,5,0.1,1,3,602,1,glm,1,False,10,0.8603884668272039,0.8709884752300223,0.8729273283929541
187,lrmf,1000,3,100,0.1,1,3,602,1,glm,143,False,10,0.9971265869656317,0.9936820336123727,0.9894451808222003
188,lrmf,1000,3,5,0.3,1,3,602,1,glm,1,False,10,0.8603884668272039,0.8709884752300223,0.8729273283929541
189,lrmf,1000,3,100,0.3,1,3,602,1,glm,136,False,10,0.9971265869656317,0.9936820336123727,0.9894451808222003
190,lrmf,1000,3,5,0,1,3,602,1,glm,1,False,10,0.856912242110959,0.8667608830258902,0.8687765913969636
191,lrmf,1000,3,100,0,1,3,602,1,glm,135,False,10,0.9897127372190864,0.9906882878494541,0.9867819900663692
192,lrmf,1000,3,5,0.1,2,3,602,1,glm,1,False,10,0.9177894347604768,0.9076339884520909,0.9092532011281852
193,lrmf,1000,3,100,0.1,2,3,602,1,glm,143,False,10,0.9858433373191678,1.0076230562835309,1.0040301546713999
194,lrmf,1000,3,5,0.3,2,3,602,1,glm,1,False,10,0.9177894347604768,0.9076339884520909,0.9092532011281852
195,lrmf,1000,3,100,0.3,2,3,602,1,glm,147,False,10,0.9858433373191678,1.0076230562835309,1.0040301546713999
196,lrmf,1000,3,5,0,2,3,602,1,glm,1,False,10,0.9223959009242633,0.9113823983885453,0.9127418621699757
197,lrmf,1000,3,100,0,2,3,602,1,glm,146,False,10,0.9897379590714058,1.0116777636344119,1.0089296179260026
198,lrmf,1000,3,5,0.1,3,3,602,1,glm,1,False,10,0.8201132424561735,0.8300547840413441,0.8322176218178278
199,lrmf,1000,3,100,0.1,3,3,602,1,glm,142,False,10,1.0215223607041577,1.0227126496040457,1.0202429482311746
200,lrmf,1000,3,5,0.3,3,3,602,1,glm,1,False,10,0.8201132424561735,0.8300547840413441,0.8322176218178278
201,lrmf,1000,3,100,0.3,3,3,602,1,glm,137,False,10,1.0215223607041577,1.0227126496040457,1.0202429482311746
202,lrmf,1000,3,5,0,3,3,602,1,glm,1,False,10,0.8181291723079951,0.8284261730863071,0.8306323036163299
203,lrmf,1000,3,100,0,3,3,602,1,glm,136,False,10,1.0220726548373213,1.022962441219573,1.0204388307506644
204,lrmf,1000,3,5,0.1,4,3,602,1,glm,1,False,10,0.8448547501201972,0.842744596437794,0.8411710202371492
205,lrmf,1000,3,100,0.1,4,3,602,1,glm,139,False,10,0.9857268317246402,0.9977156820939921,0.9937739465970002
206,lrmf,1000,3,5,0.3,4,3,602,1,glm,1,False,10,0.8448547501201972,0.842744596437794,0.8411710202371492
207,lrmf,1000,3,100,0.3,4,3,602,1,glm,140,False,10,0.9857268317246402,0.9977156820939921,0.9937739465970002
