,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
46,dlvm,5000,3,5,0,0,3,400,0.1,glm,1675,False,True,1.0774139978301296,1.074968200150387,1.0737925241973292,1.028541884740028,1.0284119006925498,1.0284744939877446,0.7371319627651389,0.5579226038013027
47,dlvm,5000,3,100,0,0,3,400,0.1,glm,5369,False,True,1.0338977626852888,1.0393181954158712,1.0406090814545046,1.0393409561838822,1.0443231663727603,1.0470638642117445,0.891229131158617,0.8497017811091938
48,dlvm,5000,3,5,0.1,0,3,10,1,glm,1187,False,True,1.075851705029783,1.0712754332422258,1.0715441946259165,1.0191947671208235,1.0190142537856306,1.0189192193158336,0.736266825674384,0.5438140194543424
49,dlvm,5000,3,100,0.1,0,3,10,1,glm,4022,False,True,1.044288973413494,1.0465283479045213,1.0472789981155124,1.0488195781595477,1.04831353501888,1.0503107979790856,0.9036410932590315,0.8583335473738228
50,dlvm,5000,3,5,0.3,0,3,10,1,glm,1025,False,True,1.0834763339467808,1.0790003818766625,1.07905510477316,1.0298385805337424,1.0298019494069082,1.0297897874826942,0.7424096854023996,0.5647282723034742
51,dlvm,5000,3,100,0.3,0,3,10,1,glm,4035,False,True,1.0519859945082932,1.0532753431137436,1.0531773114111929,1.0468670034645795,1.047987241338054,1.0489073356134062,0.9021161280678617,0.8567258791549952
52,dlvm,5000,3,5,0,0,3,10,1,glm,1193,False,True,1.0846108927572506,1.0807736519250843,1.0808512763178846,1.0249408199154408,1.0247919077826388,1.0247745833913922,0.7389087965681783,0.5577579203704401
53,dlvm,5000,3,100,0,0,3,10,1,glm,4185,False,True,1.0509651161333524,1.0511329932099553,1.0514987194753376,1.049367005083651,1.049358991984903,1.051226515989139,0.9020910593247934,0.8574657455467612
54,dlvm,5000,3,5,0.1,0,3,400,1,glm,1602,False,True,1.0578710272657288,1.0550455985511007,1.055296865708013,1.0288223810120045,1.0288278709113647,1.0288071840517108,0.7323225461841074,0.5675933502645162
55,dlvm,5000,3,100,0.1,0,3,400,1,glm,5604,False,True,1.033183600429654,1.0599753565939127,1.0604715443933286,1.0423124420502234,1.0585008686496693,1.0592614384546173,0.8736898709079,0.8464644211266216
56,dlvm,5000,3,5,0.3,0,3,400,1,glm,1655,False,True,1.059590717663682,1.0566623393058188,1.0572670521492509,1.0294725670964218,1.0291893121104474,1.0291404596839753,0.7355100850617448,0.5638055834560296
57,dlvm,5000,3,100,0.3,0,3,400,1,glm,5610,False,True,1.0514370664376038,1.0487477581490567,1.0479697587927492,1.0499096728782178,1.0479971924471976,1.0475706781326,0.8767945740357503,0.8486790867552918
58,dlvm,5000,3,5,0,0,3,400,1,glm,1875,False,True,1.0573260592450218,1.054045935009191,1.0540757913488448,1.0261351445412388,1.0260295155026662,1.0259583702010824,0.7279917577595713,0.564416057131917
59,dlvm,5000,3,100,0,0,3,400,1,glm,5313,False,True,1.0577624891853763,1.0499529785537547,1.0520494827627354,1.0560184194499485,1.0503404268530405,1.0525736735022924,0.8806478966938952,0.8523720834871036
60,dlvm,5000,3,5,0.1,0,3,10,10,glm,1203,False,True,1.0673406237838898,1.0658206802264694,1.0656210313029724,1.026219015538532,1.0258636543201232,1.0258734831511336,0.7315694998020502,0.5348888277239466
61,dlvm,5000,3,100,0.1,0,3,10,10,glm,4021,False,True,1.0465580696684522,1.0500311333509182,1.049124856921095,1.057009354497997,1.0551058409623908,1.054289784865074,0.8750326519678475,0.8277623382810535
62,dlvm,5000,3,5,0.3,0,3,10,10,glm,1135,False,True,1.0771425021678924,1.072724280200791,1.07512830968508,1.0298855788589463,1.0291934838982055,1.0293641908946927,0.7316080272549736,0.5329974399383101
63,dlvm,5000,3,100,0.3,0,3,10,10,glm,4020,False,True,1.049231661649465,1.0483500182764578,1.049056450400021,1.0599741027115177,1.0561549218113344,1.0568304129151955,0.873231184317404,0.8269285360753781
64,dlvm,5000,3,5,0,0,3,10,10,glm,1025,False,True,1.063119524770576,1.0625184239491274,1.0635953982557587,1.0237074197570815,1.0234946271960543,1.0235526559043153,0.7270640079178808,0.5245073083258402
65,dlvm,5000,3,100,0,0,3,10,10,glm,3920,False,True,1.049333302524768,1.0498225612428034,1.0495637532087934,1.0605186821910788,1.057426189555536,1.0573495042706214,0.869174744547554,0.8260089075842921
66,dlvm,5000,3,5,0.1,0,3,400,10,glm,1611,False,True,1.0670307499314167,1.0628067451187033,1.0644740623330449,1.0323878053306408,1.0320878291334987,1.0321994513030515,0.7339940048794321,0.5696831405531385
67,dlvm,5000,3,100,0.1,0,3,400,10,glm,5323,False,True,1.029329890083229,1.0323230204261598,1.027659670586746,1.032209128136554,1.0339458108635013,1.0297480732263495,0.8686414691229962,0.845609511655251
68,dlvm,5000,3,5,0.3,0,3,400,10,glm,1528,False,True,1.0697539702939576,1.0650412891088616,1.0657092631567684,1.0332512539730028,1.0327495801631847,1.0328062394709054,0.7350724413070725,0.5661603971474689
69,dlvm,5000,3,100,0.3,0,3,400,10,glm,10214,False,True,1.0580092067875326,1.0460828546996996,1.045515281340759,1.0567136288044188,1.047923241487384,1.047569505621556,0.8711946957094299,0.8472543454686821
70,dlvm,5000,3,5,0,0,3,400,10,glm,6386,False,True,1.0643162049447752,1.0589674616412932,1.0601959726284544,1.0295116973839982,1.0292545091780416,1.0291934867408914,0.7341861100287764,0.5643432046790449
71,dlvm,5000,3,100,0,0,3,400,10,glm,11112,False,True,1.0491471601303692,1.0470319897764269,1.0435685459161235,1.049377479462209,1.0485661825689794,1.0461417557806374,0.8729663021127225,0.8468972194375083
72,lrmf,1000,3,5,0.1,0,3,10,0.1,glm,174,False,True,1.0963219396659774,1.0929456775022222,1.0927126152722195,1.1053850255887694,1.105393237195093,1.1053716701349579,0.38822298273315664,0.10375192182299037
73,lrmf,1000,3,100,0.1,0,3,10,0.1,glm,500,False,True,1.0294274200489926,1.0448369791177035,1.0589155351892003,1.055339911603231,1.0554024180655062,1.055425324680464,0.4045902111104591,0.3415466629582113
74,lrmf,1000,3,5,0.3,0,3,10,0.1,glm,148,False,True,1.115354177809422,1.1119829178084115,1.1155829328199616,1.1056323141230318,1.105651690136765,1.1057663804082944,0.5147613783829756,0.1045050761236483
75,lrmf,1000,3,100,0.3,0,3,10,0.1,glm,444,False,True,1.1151899603320548,1.1151468232620971,1.1448507813287279,1.056599367077419,1.0565839469053337,1.0566154002759005,0.39227889513586983,0.34039618127650784
76,lrmf,1000,3,5,0,0,3,10,0.1,glm,142,False,True,1.0968928394455748,1.096294405438158,1.1005431600744089,1.1052792708701458,1.1052958858449693,1.1053374193756271,0.3052128116002882,0.10331819431963662
77,lrmf,1000,3,100,0,0,3,10,0.1,glm,448,False,True,1.1265002662759371,1.1231692613291968,1.130700896399219,1.05704543368947,1.0570239463700037,1.0569852361674215,0.41318569248819403,0.3481942508705802
78,lrmf,1000,3,5,0.1,0,3,400,0.1,glm,232,False,True,0.8559513327976567,0.8553403849609253,0.854592738989103,0.9078504734068882,0.9066722029765026,0.9063577287206084,0.7847966880351407,0.6396569780730156
79,lrmf,1000,3,100,0.1,0,3,400,0.1,glm,1051,False,True,0.9991256565838198,0.9994127549535201,0.9972916531317852,1.0003922383482193,1.0005428155827925,0.9982724550217082,0.9901119237306546,0.983564359069622
80,lrmf,1000,3,5,0.3,0,3,400,0.1,glm,305,False,True,0.8459647818619563,0.8448214265259397,0.8441003927699618,0.911534745054338,0.9099925724612089,0.9097201519925949,0.7908336327428238,0.6384083150463907
81,lrmf,1000,3,100,0.3,0,3,400,0.1,glm,1116,False,True,0.9991807233257564,1.0002655438833572,0.9969929115413718,1.0010221184478323,1.001629818348023,0.9984934621015955,0.9905403910225636,0.9840866650227619
82,lrmf,1000,3,5,0,0,3,400,0.1,glm,297,False,True,0.8459482075311592,0.844978824545116,0.8446151102894383,0.9082555752332712,0.907109330226732,0.9069551155303531,0.7909908316047422,0.6422296075637223
83,lrmf,1000,3,100,0,0,3,400,0.1,glm,961,False,True,0.9965834492218008,0.9972362971931354,0.9951644186660042,0.9973947898305133,0.9980156706909282,0.9959360824998207,0.9910511054414999,0.9848793334858961
84,lrmf,1000,3,5,0.1,0,3,10,1,glm,144,False,True,0.9591536255820574,0.9514037895133335,0.9508134616869311,1.07324979161818,1.0666953587795884,1.0666254373952262,0.6965679469973006,0.48144931696073784
85,lrmf,1000,3,100,0.1,0,3,10,1,glm,488,False,True,0.9934293349113689,0.9997514731778918,0.9949079990832314,0.996207767522394,1.0009623255224047,0.996000246742119,0.9886465945092606,0.9819531940832213
